crID	cat	trf	maxnet	new_purity	new_recovered	new_n_big	new_assigned	new_n_alleles	cur_purity	cur_recovered	cur_n_big	cur_assigned	cur_n_alleles
0	het	False	32	1.0	True	2	1.0	2	1.0	True	2	1.0	2
1	het	False	341	1.0	True	2	0.8181818181818182	2	1.0	True	2	1.0	2
2	cpx_het	True	105	1.0	True	2	0.9444444444444444	2	0.9444444444444444	True	2	1.0	2
3	het	False	36	1.0	True	2	1.0	2	1.0	True	2	1.0	2
4	het	True	100	1.0	True	2	1.0	2	1.0	True	2	1.0	2
5	het	True	331	1.0	True	2	1.0	2	1.0	True	2	1.0	2
6	hom	False	1343	1.0	True	1	0.3125	1	1.0	True	1	1.0	1
7	het	False	312	1.0	True	2	1.0	2	1.0	True	2	1.0	2
9	ref	True	0	1.0	True	1	1.0	1	1.0	True	1	1.0	1
10	hom	True	32	1.0	True	1	0.9565217391304348	1	1.0	True	1	1.0	1
11	hom	False	2965	1.0	True	2	1.0	1	1.0	True	2	1.0	1
12	hom	True	364	1.0	True	1	0.7142857142857143	1	1.0	True	1	1.0	1
13	hom	True	40	1.0	True	2	1.0	1	1.0	True	1	1.0	1
14	hom	True	102	1.0	True	1	0.8461538461538461	1	1.0	True	1	1.0	1
16	hom	True	194	1.0	True	2	1.0	1	1.0	True	1	1.0	1
17	hom	False	310	1.0	True	2	1.0	1	1.0	True	1	1.0	1
18	het	True	47	1.0	True	2	1.0	2	0.8181818181818182	True	2	1.0	2
20	hom	True	83	1.0	True	1	1.0	1	1.0	True	1	1.0	1
22	ref	False	0	1.0	True	1	1.0	1	1.0	True	1	1.0	1
23	ref	True	0	1.0	True	1	1.0	1	1.0	True	1	1.0	1
25	cpx_het	True	86	1.0	True	2	0.9444444444444444	2	0.7222222222222222	False	1	1.0	2
26	cpx_het	True	1190	1.0	True	2	1.0	2	0.9166666666666666	True	2	1.0	2
27	hom	True	685	1.0	True	2	0.8	1	1.0	True	1	1.0	1
28	het	True	20	1.0	True	2	1.0	2	0.5666666666666667	False	1	1.0	2
30	hom	True	3836	1.0	True	1	0.45454545454545453	1	1.0	True	1	1.0	1
31	hom	True	347	1.0	True	1	0.7142857142857143	1	1.0	True	1	1.0	1
32	cpx_het	True	536	1.0	True	2	1.0	2	0.96	True	2	1.0	2
33	hom	False	169	1.0	True	2	1.0	1	1.0	True	1	1.0	1
34	hom	True	36	1.0	True	2	1.0	1	1.0	True	1	1.0	1
35	het	False	338	1.0	True	2	1.0	2	1.0	True	2	1.0	2
36	het	True	54	1.0	True	2	1.0	2	0.9583333333333334	True	2	1.0	2
37	cpx_het	True	5216	1.0	True	2	0.875	2	1.0	True	2	1.0	2
39	cpx_het	True	182	1.0	True	2	1.0	2	0.9615384615384616	True	2	1.0	2
40	het	True	60	1.0	True	2	1.0	2	1.0	True	2	1.0	2
41	cpx_het	True	106	1.0	True	2	1.0	2	1.0	True	2	1.0	2
42	het	False	32	1.0	True	2	1.0	2	0.9629629629629629	True	2	1.0	2
43	het	False	2104	1.0	True	2	1.0	2	0.9583333333333334	True	2	1.0	2
45	ref	True	0	1.0	True	2	1.0	1	1.0	True	1	1.0	1
46	het	False	325	1.0	True	2	1.0	2	1.0	True	2	1.0	2
47	het	True	76	1.0	True	2	1.0	2	1.0	True	2	1.0	2
48	het	True	32	1.0	True	2	1.0	2	0.7222222222222222	False	1	1.0	2
49	het	False	1106	1.0	True	2	1.0	2	0.8636363636363636	True	2	1.0	2
50	cpx_het	True	82	1.0	True	2	1.0	2	0.5714285714285714	False	1	1.0	2
51	hom	True	29	1.0	True	2	1.0	1	1.0	True	1	1.0	1
52	het	True	48	1.0	True	2	1.0	2	0.96	True	2	1.0	2
53	cpx_het	True	5844	1.0	True	2	1.0	2	0.8888888888888888	True	2	1.0	2
54	het	False	36	1.0	True	2	1.0	2	0.9545454545454546	True	2	1.0	2
55	cpx_het	True	931	0.9545454545454546	True	2	1.0	2	0.9545454545454546	True	2	1.0	2
56	ref	False	0	1.0	True	2	1.0	1	1.0	True	1	1.0	1
57	cpx_het	True	60	1.0	True	2	1.0	2	1.0	True	2	1.0	2
59	hom	False	205	1.0	True	2	1.0	1	1.0	True	1	1.0	1
60	het	True	347	1.0	True	2	1.0	2	0.9666666666666667	True	2	1.0	2
61	het	True	50	1.0	True	2	1.0	2	1.0	True	2	1.0	2
62	hom	True	150	1.0	True	2	1.0	1	1.0	True	1	1.0	1
63	cpx_het	True	120	1.0	True	2	1.0	2	1.0	True	2	1.0	2
64	hom	True	156	1.0	True	2	1.0	1	1.0	True	1	1.0	1
66	hom	True	54	1.0	True	2	1.0	1	1.0	True	2	1.0	1
67	hom	True	273	1.0	True	2	1.0	1	1.0	True	1	1.0	1
68	het	True	59	1.0	True	2	1.0	2	1.0	True	2	1.0	2
69	cpx_het	True	1001	1.0	True	2	1.0	2	0.92	True	2	1.0	2
70	het	True	943	1.0	True	2	1.0	2	0.9545454545454546	True	2	1.0	2
71	het	True	36	1.0	True	2	1.0	2	0.9666666666666667	True	2	1.0	2
72	het	True	36	1.0	True	2	1.0	2	1.0	True	2	1.0	2
73	het	False	334	1.0	True	2	1.0	2	0.96	True	2	1.0	2
74	cpx_het	True	64	1.0	True	2	1.0	2	1.0	True	2	1.0	2
75	het	False	36	1.0	True	2	1.0	2	1.0	True	2	1.0	2
76	cpx_het	False	2109	1.0	True	2	1.0	2	0.9642857142857143	True	2	1.0	2
78	cpx_het	True	336	1.0	True	2	1.0	2	0.6296296296296297	False	1	1.0	2
79	het	True	37	1.0	True	2	1.0	2	1.0	True	2	1.0	2
82	cpx_het	True	193	1.0	True	2	1.0	2	0.9583333333333334	True	2	1.0	2
83	het	False	93	1.0	True	2	1.0	2	1.0	True	2	1.0	2
84	cpx_het	True	3197	1.0	True	2	1.0	2	0.84	True	2	1.0	2
85	cpx_het	True	132	1.0	True	2	1.0	2	1.0	True	2	1.0	2
86	het	False	1783	1.0	True	2	1.0	2	1.0	True	2	1.0	2
87	hom	True	86	1.0	True	2	1.0	1	1.0	True	1	1.0	1
88	hom	False	324	1.0	True	2	1.0	1	1.0	True	1	1.0	1
89	het	True	20	1.0	True	2	1.0	2	0.5555555555555556	False	1	1.0	2
90	het	False	177	1.0	True	2	1.0	2	1.0	True	2	1.0	2
91	het	True	51	1.0	True	2	1.0	2	1.0	True	2	1.0	2
92	het	False	42	1.0	True	2	1.0	2	1.0	True	2	1.0	2
93	hom	False	65	1.0	True	1	0.13333333333333333	1	1.0	True	1	1.0	1
94	het	False	597	1.0	True	2	1.0	2	1.0	True	2	1.0	2
95	hom	True	98	1.0	True	2	1.0	1	1.0	True	1	1.0	1
96	hom	False	325	1.0	True	1	1.0	1	1.0	True	1	1.0	1
97	het	True	123	1.0	True	2	1.0	2	1.0	True	2	1.0	2
98	het	False	24	1.0	True	2	1.0	2	0.9444444444444444	True	2	1.0	2
99	cpx_het	False	40	1.0	True	2	1.0	2	0.5454545454545454	False	1	1.0	2
100	het	False	47	1.0	True	2	0.9473684210526315	2	1.0	True	2	1.0	2
101	hom	False	315	1.0	True	2	1.0	1	1.0	True	1	1.0	1
102	ref	True	0	1.0	True	2	1.0	1	1.0	True	1	1.0	1
103	hom	True	46	1.0	True	1	0.6	1	1.0	True	1	1.0	1
104	hom	True	36	1.0	True	1	0.9285714285714286	1	1.0	True	1	1.0	1
105	het	False	263	1.0	True	2	1.0	2	1.0	True	2	1.0	2
106	het	False	324	1.0	True	2	1.0	2	1.0	True	2	1.0	2
107	het	True	354	1.0	True	2	1.0	2	1.0	True	2	1.0	2
108	cpx_het	True	135	1.0	True	2	1.0	2	1.0	True	2	1.0	2
109	het	True	64	1.0	True	2	1.0	2	1.0	True	2	1.0	2
110	cpx_het	True	496	1.0	True	2	0.9655172413793104	2	0.9655172413793104	True	2	1.0	2
112	het	True	52	1.0	True	2	1.0	2	0.9411764705882353	True	2	1.0	2
113	het	True	28	1.0	True	2	1.0	2	0.7	False	1	1.0	2
114	ref	False	0	1.0	True	1	0.3888888888888889	1	1.0	True	1	1.0	1
116	het	True	38	1.0	True	2	1.0	2	1.0	True	2	1.0	2
117	cpx_het	True	853	1.0	True	2	1.0	2	1.0	True	2	1.0	2
118	hom	True	70	1.0	True	2	1.0	1	1.0	True	1	1.0	1
119	het	False	53	1.0	True	2	1.0	2	1.0	True	2	1.0	2
