variant	coverage	truthset	regionset	refined	precision	recall	f1	gt_concordance_raw	TP-base	TP-comp	FP	FN	base cnt	comp cnt	run_wall_min	run_max_rss_gb
flank200	20x	V5	all	True	0.9174	0.8032	0.8565	0.8793	1416	1399	126	347	1763	1525	5.5	13.2
flank200	20x	V5	non_trf	True	0.9181	0.9395	0.9287	0.9160	373	370	33	24	397	403	5.5	13.2
flank200	20x	T2TQ100	all	True	0.9186	0.7975	0.8538	0.8596	1489	1377	122	378	1867	1499	5.5	13.2
flank200	20x	T2TQ100	non_trf	True	0.9171	0.9167	0.9169	0.8808	396	365	33	36	432	398	5.5	13.2
flank200_subset	20x	V5	all	True	0.9079	0.8083	0.8552	0.9134	1417	1400	142	336	1753	1542		
flank200_subset	20x	V5	non_trf	True	0.9181	0.9395	0.9287	0.9404	373	370	33	24	397	403		
flank200_subset	20x	T2TQ100	all	True	0.9144	0.8090	0.8585	0.8492	1533	1389	130	362	1895	1519		
flank200_subset	20x	T2TQ100	non_trf	True	0.9171	0.9329	0.9249	0.8672	403	365	33	29	432	398		
ava_phase	20x	V5	all	True	0.9136	0.8070	0.8570	0.9335	1409	1406	133	337	1746	1539	14.3	12.8
ava_phase	20x	V5	non_trf	True	0.9585	0.9394	0.9489	0.9621	372	370	16	24	396	386	14.3	12.8
ava_phase	20x	T2TQ100	all	True	0.9187	0.8135	0.8629	0.8573	1557	1412	125	357	1914	1537	14.3	12.8
ava_phase	20x	T2TQ100	non_trf	True	0.9585	0.9388	0.9486	0.8509	414	370	16	27	441	386	14.3	12.8
ava_phase_ovall	20x	V5	all	True	0.9235	0.8014	0.8581	0.7522	1400	1400	116	347	1747	1516		
ava_phase_ovall	20x	V5	non_trf	True	0.9585	0.9394	0.9489	0.7263	372	370	16	24	396	386		
ava_phase_ovall	20x	T2TQ100	all	True	0.9214	0.7666	0.8369	0.8337	1393	1360	116	424	1817	1476		
ava_phase_ovall	20x	T2TQ100	non_trf	True	0.9578	0.8797	0.9171	0.7995	373	363	16	51	424	379		
