crID	flank	n_reads	raw_sites	sites	sv_sites	lowq	pairs_decided	n_groups	grouped_frac	sizes	secs	assigned_trio_frac	acc_asg	split_err_asg	join_err_asg	cur_n	ari_vs_cur	trio_n	trio_pat	trio_mat	acc_new	split_err_new	join_err_new	acc_cur	split_err_cur	join_err_cur	error	_labels
3	5000	21	128	141	22	0	1.0	2	1.0	11,10	0.8	1.0	1.0	0.0	0.0	2	1.0	21	13	12	1.0	0.0	0.0	1.0	0.0	0.0		{"0bdb3198-eb14-4116-8deb-760b6405e815": 0, "0c86a0dd-d325-457c-9966-3b51d1cc1ab8": 0, "0d56c49d-8c7d-4904-bc98-ecb66fc7e5f8": 1, "0e69a408-2620-40a3-8135-e1d964005ede": 1, "1f944e28-e0a9-4f07-8eb2-35bb390e6ab5": 0, "26511d78-2c29-4551-aa04-b0b7bc9c566f": 0, "28b90adf-62d5-422c-a45f-9810cacff368": 0, "630dafd1-273c-4058-a8ee-880124f16d24": 1, "6d48f856-e005-41cb-9df2-ff9b8a21b2f5": 1, "71eb4119-f02b-46e2-98c7-e1d2d412d666": 1, "8faac6d2-dda2-4416-83b6-52ad80b0473f": 0, "9227c5c9-15e9-437a-9bca-b8d68d8ab01e": 0, "a7069917-e3a4-4d6d-b593-3ca523f1fb11": 1, "bc3fbcf5-45ed-460f-b08f-fee35981d33c": 1, "c2cdfb4c-163d-48b5-ba3a-7026512c7614": 1, "ccf9cecc-0365-442d-892f-e1dd29d0700b": 0, "cf8ddded-612a-4447-8cf8-4938ad42d0cc": 0, "e05da643-9f5f-49fd-afc5-181b91b1e955": 0, "e0a93671-a009-4d81-9e3e-7ac10799e4d7": 1, "e9a9cdeb-63e7-400e-a058-2398dfbcd114": 1, "eee6a5b0-97ea-4ab9-bedb-5a24d72a74bd": 0}
4	5000	24	133	133	26	0	0.982	2	0.917	12,10,1,1	0.7	1.0	1.0	0.0	0.0	2	0.818	22	13	10	1.0	0.0	0.0	1.0	0.0	0.0		{"0bdb3198-eb14-4116-8deb-760b6405e815": 1, "0d56c49d-8c7d-4904-bc98-ecb66fc7e5f8": 0, "0e69a408-2620-40a3-8135-e1d964005ede": 0, "14a2bcec-7da6-4b26-86a2-321bcd47dc72": 0, "1f944e28-e0a9-4f07-8eb2-35bb390e6ab5": 1, "26511d78-2c29-4551-aa04-b0b7bc9c566f": 1, "28b90adf-62d5-422c-a45f-9810cacff368": 1, "44b44f71-f706-467a-8b7e-08a43dfe4af1": -1, "464c6679-e51a-4aac-a646-7057cd1a0c8f": -1, "630dafd1-273c-4058-a8ee-880124f16d24": 0, "71eb4119-f02b-46e2-98c7-e1d2d412d666": 0, "8faac6d2-dda2-4416-83b6-52ad80b0473f": 1, "9227c5c9-15e9-437a-9bca-b8d68d8ab01e": 1, "9c356c74-359e-47f6-9ad0-8e7225d72581": 0, "a1cb7815-fc10-45d1-ad1c-97cc90464f2e": 1, "a7069917-e3a4-4d6d-b593-3ca523f1fb11": 0, "ad610688-07f5-439f-85ba-de0b374c65bd": 0, "baa6b7c4-e463-4657-97df-6905d0890a0b": 0, "bc5656bb-36d6-4419-96ed-75dcb8fa8f69": 1, "c2cdfb4c-163d-48b5-ba3a-7026512c7614": 0, "ccf9cecc-0365-442d-892f-e1dd29d0700b": 1, "cf8ddded-612a-4447-8cf8-4938ad42d0cc": 1, "e0a93671-a009-4d81-9e3e-7ac10799e4d7": 0, "e9a9cdeb-63e7-400e-a058-2398dfbcd114": 0}
11	5000	25	301	286	44	0	0.94	2	1.0	16,9	1.5	1.0	1.0	0.0	0.0	2	0.439	24	16	10	1.0	0.0	0.0	0.71	0.284	0.296		{"0d38f8ee-1cfb-40fa-97b6-fed85f0d9526": 1, "18b29743-f0c5-4a41-a21f-73e0aa326957": 0, "206a7207-822a-41c3-8c35-53dcaa508c2c": 0, "282e25aa-bd15-4c34-b409-1ad2b122ee10": 0, "3e3c69de-b6b8-4412-ae10-6f5f8a681e01": 0, "49566efb-621c-4ab0-bb33-bfb20095a5b2": 1, "4a0c83ec-d0b0-4a6b-bf59-deb15f8aaa1f": 1, "4f59f43c-971b-49fc-b12e-9377da467477": 0, "564bbdbc-b5e3-4682-9da6-294d2fe2ce02": 0, "614bb602-45f4-489c-a7c1-014a36b30aa8": 0, "6847807a-cecc-4fa2-ab15-27cd2af640ef": 1, "83f6ba36-e9b1-48d2-93b9-8f5fabfb5f76": 0, "852a16e1-b649-4e86-9ebc-925f191650f6": 1, "956e7b58-2013-4d37-b278-47a36afe0882": 1, "ac44cbd8-942a-454d-8ecf-5ec9154ffbfa": 0, "bedd5b5d-4769-4627-8f48-444ace398d36": 1, "c7162aff-262d-4e1e-90aa-0e00f84bcbab": 0, "cde67797-3b17-4548-9c32-3026dd9d6640": 0, "d1557c4d-3ca4-47dc-938f-f67ba299f445": 0, "d3b90268-5f64-40eb-a0cb-f3c623868127": 0, "f674c0a3-0bd7-44fd-bddb-3e9bab53949c": 0, "f7685923-96e2-44a2-bc12-f1f88cbabd55": 0, "f85f561c-2db3-460e-a908-b227a234fba2": 1, "fb044581-e33f-4f85-9358-d1d9454f3418": 1, "fff0891a-840c-4a17-b2ea-f26198d27b41": 0}
17	5000	23	527	536	14	0	0.996	2	1.0	14,9	0.9	1.0	1.0	0.0	0.0	1	0.0	23	9	15	1.0	0.0	0.0	0.502	0.0	1.0		{"05e51cd8-1b7e-44ca-9bfb-b0a7d3697056": 0, "1141ac5a-0461-4c33-ac70-0e8629292c17": 0, "17182877-877a-4d2d-a90b-05f1c3b569f1": 0, "208a4174-8493-43e2-81ef-e3399b5172d6": 1, "297442cd-9089-4162-beca-4844f6a5740b": 0, "324e2e06-a3d6-4788-87b9-9edb5c008a68": 0, "4358ea33-a0b0-41a3-8718-7e0c1c6ce22e": 0, "555b43dc-a45a-4e83-8c90-9a263cdec327": 0, "6be99111-7781-4e28-9ebb-cc418b6e64ee": 1, "7e92c45a-38ae-4bbb-a61b-e7b6a8660fff": 1, "837142dd-7a13-4e6e-b455-d10ec2eb6895": 0, "857d372b-a0c1-4050-b14c-093356d00644": 0, "86da0bd5-9f2c-45a0-8ddc-8623be5b1a43": 0, "89316896-fbb9-4bac-be79-702d84481790": 1, "a4855faa-c9fd-45a9-88f2-9b4c066fd959": 1, "ba6bc477-1a7a-41c9-ae2f-5382db58fdac": 1, "d253eff2-890a-4416-bd90-4d326242d08a": 0, "e2b1beec-6387-4224-8cdb-496988e4a465": 1, "e59d1784-76eb-400d-b17b-c674a3b28c7a": 0, "e789e26c-e944-4b22-a3e7-38dc453969bb": 0, "edd8ecbd-fc90-42d6-b166-1b87c95d3d7c": 0, "f5a720bf-f193-4bd1-bbb9-797803f8f662": 1, "fc053835-ceb8-4515-a832-a985cf4ef8ad": 1}
18	5000	23	270	214	28	0	0.889	2	0.957	12,10,1	1.0	1.0	1.0	0.0	0.0	2	0.324	22	12	13	1.0	0.0	0.0	0.688	0.288	0.333		{"0002934e-1489-4cd5-9365-8bd31a396cfc": 0, "05e51cd8-1b7e-44ca-9bfb-b0a7d3697056": 0, "0c584249-86ae-436d-b40e-d4528256e57d": 1, "0d1b7130-566b-4e50-aee1-6628fe559e85": 1, "15d900a6-0766-4eee-8798-cf1dc8f9ea8a": 0, "28dd8dcd-0374-4d8b-bc6c-6640c7c8f78c": 0, "464fd31a-d6ba-4116-9823-f25d95dbf1ee": 0, "56c88b2b-6902-4cc7-892e-71cddcdb4124": 0, "5fdce26f-3210-4a81-aa6a-83361e6745a3": -1, "6974e568-acfb-4cbd-aea6-80a1f5ee545a": 1, "7e407b53-125b-41f0-8c7b-eedf0d985396": 0, "87fe8404-1f4a-4bfe-8196-6c262f47adce": 0, "9739ca6f-c605-4b9e-b248-4a6aac562dd8": 1, "ac77acf6-012a-431f-877a-2c8a49aa8f1d": 0, "ad598d3f-3296-413d-9ce4-ded14ba375f1": 1, "b9634851-4772-4e16-9306-f3a22637f5e6": 0, "ba6bc477-1a7a-41c9-ae2f-5382db58fdac": 1, "bbfca31c-f2f0-4154-bb71-bfb5a618e8ce": 1, "cfd3b263-eb1c-4ef7-b827-ce8a34581790": 0, "d152497c-b906-4714-a2a6-b388be48eb1d": 1, "d2b80664-588b-4fac-b09f-363f50497570": 0, "e7ad53a4-13b0-4ffc-9f42-190cbc21234a": 1, "e90b3f7b-09c7-4932-a7b6-cc43a760f937": 1}
25	5000	19	280	267	16	0	0.854	2	0.947	13,5,1	0.8	0.944	1.0	0.0	0.0	1	0.0	18	5	15	0.922	0.136	0.0	0.575	0.0	1.0		{"0433a657-41d6-4dbf-95fa-e4409dcef3c6": 0, "32a9dd6f-aede-4e7f-8e0a-fc1cc455ad57": 1, "3bd5e5ac-6c32-4452-a59d-7a1198cd175b": 0, "4648dbfa-cb87-4ed9-80b9-7c96219fca13": 0, "4ec827e1-89a4-44c7-a41c-522a960246e9": 0, "53ac8652-ecd2-42b3-9ced-604d1055e8f6": 0, "58e9f044-2a9b-4f2b-936a-444ab3fe7126": 1, "5f0a886d-7cd4-45ec-9331-4ac1b4986c74": 1, "7779ec5a-28a1-40ee-80cc-022fe768d664": 0, "791812be-a4ce-411b-a2ba-0361a45d75d7": 1, "8e2c8f19-6ff8-4235-8a5b-963d81c4eeb4": 1, "9609be97-e473-44fe-96db-6d8841a88aa4": 0, "a005e68f-ad66-4f7a-a6a0-c804404b1775": -1, "b26f4118-c214-4693-bba2-56054d1b4afa": 0, "b4d6d127-8120-4ec2-ab15-af748683d5e1": 0, "cbaa908b-5c7f-4ee4-b31b-327633903427": 0, "d32df289-7559-40f5-ab01-6156dab5e9a6": 0, "d5fe69e4-1ebd-4239-b812-4802a413a31f": 0, "dc13e307-36fb-4d21-9009-d2a654a404fa": 0}
29	5000	25	76	20	0	0	0.307	2	0.8	16,4,1,1,1,1,1	1.1	0.667	1.0	0.0	nan	1	0.0	3	2	1	1.0	0.0	0.0	0.333	0.0	1.0		{"05a4fa17-5e3d-4def-b2aa-400daffe0ebc": 0, "1580edf1-2442-4675-914c-dc4ee7aaa249": 1, "1969b040-774d-4bf6-84f1-66df4037d969": 1, "1f81925d-0ad4-4783-bdd0-cb85117159d0": 0, "2eb59ce7-08c0-4824-87b4-f246e56ce252": 0, "3671bc89-3439-4369-825f-bcb0d69d7d08": 1, "3e08f525-4c5e-4e89-99c9-1b89bdf31b66": 0, "5263c8cf-3570-4908-a103-4539e5d447c8": 0, "5cdeffcf-8330-468b-8f06-edf3cfc6bbdd": 0, "5ed061dd-eefa-41b0-b578-36e54f845384": 0, "73acb499-44c0-4520-8280-8cec3794529a": 0, "7809aacd-e03e-4937-8a1a-1abe2828944f": -1, "7c1780fa-e407-4d7c-9672-9fe89769bfc0": 0, "8a1080a8-95ef-4c55-af99-bb29b3dcd56b": -1, "925fdf56-c3ad-4040-9793-a0fdcb431d85": 0, "9d75c610-7ba5-4c7f-b2f7-d2aa12b16d59": 0, "b1009dcf-61e7-4c15-a1f8-adebe01bb9cb": 0, "b1cdfc4a-f9b1-470f-9bad-68d08e8a6dd6": 1, "c67e74f4-506e-41b1-8a67-98cc8c4354bd": 0, "d42cfc67-a946-421f-8942-3ffec8bd01db": 0, "d7068fe9-1371-4bf7-977f-46e10f7d4df9": -1, "dd9822f9-0748-4018-8885-26672ee36cba": -1, "e1e8842c-7a20-44a0-9db6-d64f078e90dd": -1, "e4f6877b-521c-415b-8efa-fb38c6439701": 0, "e740b3bc-8afb-4285-b1e6-c801df5c99e3": 0}
34	5000	23	174	164	9	0	0.976	2	1.0	12,11	0.9	1.0	1.0	0.0	0.0	1	0.0	23	14	12	1.0	0.0	0.0	0.478	0.0	1.0		{"139b6706-a751-4f5b-b607-671d0fd06a6e": 1, "1503faa0-b2f7-4251-980c-005e95080793": 0, "173adb2d-d3aa-4dad-b53f-c831f6b1cf94": 1, "1c2ffe10-41e3-4dc1-b295-679f36bb1a25": 1, "233af7ee-68ef-474d-b536-3d2395d645c0": 0, "2ad9d7f1-197d-46b9-9ab2-8329d6e4c445": 1, "2dc0189b-00cd-4abe-a820-064a87fbfae1": 0, "32f3d1d9-cd30-43a9-9aa7-2055877a1708": 1, "39d17c11-35aa-4ee6-be69-04475c2f84bf": 1, "3a575248-fa45-4f74-8a4b-db79d1620617": 1, "3be35b09-9118-4382-b8d1-a34e10076c1f": 0, "4413309a-d2d6-495d-91d0-b9fbdcc5d981": 0, "4ddc5960-09f6-4477-a906-09aeb14d39ad": 0, "61c7c6f8-e2b1-42fe-b359-a76970845e9d": 1, "9ced6691-6ad7-4fd2-a6bd-ab1713f50450": 0, "a34fdad3-0a36-4978-beb5-c9af3b83e0ec": 0, "adda275a-421b-4cb5-bb6c-34b84faa0f33": 0, "d37e574c-1ef7-499b-b2b8-ece971727d66": 1, "de80c217-a30b-4877-9de8-cf0235b5ed53": 0, "e333edc6-a112-4073-8403-89c1d8deeeed": 0, "e901072e-3d02-4f97-af4a-40e980de8902": 1, "f2875d0a-288c-415f-9172-168100f438aa": 1, "f371c485-491d-4bc6-87c4-e534e9b5a596": 0}
35	5000	17	213	211	14	0	0.978	2	1.0	11,6	0.7	1.0	1.0	0.0	0.0	2	1.0	17	13	6	1.0	0.0	0.0	1.0	0.0	0.0		{"0a4e459f-8e3f-46f3-a86f-fd7ce408f36b": 0, "1b6c3bbf-c47e-4253-8624-217e5b90b84f": 0, "29e315ad-b7e1-4b88-82ab-bb2f5a41c4cf": 0, "312ab43f-3271-415b-b4a5-10e17c8f6f73": 0, "5003efc6-092e-4214-b51a-93c738b6f41d": 0, "5494328c-b74e-4791-96b4-de3692c214b4": 0, "6fbd67e9-9967-48b4-b409-c77510d84660": 0, "8494ea41-4836-429f-b72c-00d238444dee": 0, "8ed3deb1-e423-4705-8e48-6c862cbeab4a": 1, "94184a3e-c5b4-4db1-b749-d66ad9d32652": 1, "9b0b327f-6f64-4ab2-8936-e6a6c79fee26": 1, "ca3f4b5e-8d36-4a53-8d52-b0b1f6b2a4a7": 1, "cb0dad30-52f9-4e6d-8481-93da5072f6b0": 1, "cd84f27c-8520-4b17-89d8-aabb52eb602b": 0, "dc69635f-54e3-4da6-ac19-f59f75b20659": 1, "fdcbbac4-5940-4594-bb99-ce582d7917fd": 0, "fef91eda-8409-448c-ad69-7ae939a3b2be": 0}
36	5000	24	384	385	23	0	0.996	2	1.0	18,6	1.3	1.0	1.0	0.0	0.0	2	0.821	24	9	20	1.0	0.0	0.0	0.917	0.03	0.167		{"04cf4d90-aa10-4f0e-8f69-9d33074a3806": 0, "056d55b4-a314-41e3-8692-13f4af2418f5": 0, "05f53b7c-88e1-415e-9b6d-fe5ffd143bee": 0, "0a0d90d5-8bec-41cf-8e0e-c45d9c7a1c68": 0, "0e67d741-0638-4ac4-85fc-46854ce9b114": 0, "13aee254-9a54-4ddc-8b96-aa861365c219": 0, "170c5b99-4c8e-4d05-8aa9-375ce244d008": 1, "19dcfd5a-c7af-48de-a241-0d7dcb7bdb9b": 0, "1d5d905f-b0e2-4a96-9857-39e18af710b4": 1, "24172992-3f11-45d9-8765-ab863580f9aa": 0, "2f557592-5302-4fbb-9e74-a5cf6c965aad": 0, "2fc4ed9c-8c5a-4062-9757-343790788ca1": 0, "6985b29d-3a79-4c13-92af-9527e3af5fe4": 0, "7945eed3-a15a-4398-b5a1-f505df71ab50": 0, "7e6c719b-4f22-4d35-8398-987d85cfc194": 1, "876124a1-99d4-4f60-a127-4bdb7f6bdc63": 0, "93a03a7d-4b9c-4223-8ffc-52b60525e96a": 1, "9d23c0fd-2f7e-406b-9140-ffb6cf2e8e50": 0, "9e5b0d09-e3bd-4b89-bd6e-a15dd9c7f7df": 0, "c4abd218-a78b-4471-9b09-2a0a6baced93": 1, "c58fb120-5926-4cb4-8f5b-135785d08cce": 1, "d1597a2d-b2fe-4366-9ee2-fa939d772a24": 0, "e74c2632-9608-40c2-9923-e4791c785768": 0, "fa0e8d11-79ec-4f96-886e-8a7f7a3e742d": 0}
