crID	cat	trf	maxnet	new_purity	new_recovered	new_n_big	new_assigned	new_n_alleles	cur_purity	cur_recovered	cur_n_big	cur_assigned	cur_n_alleles
3	het	False	36	1.0	True	2	0.9523809523809523	2	1.0	True	2	1.0	2
4	het	True	100	1.0	True	2	0.9090909090909091	2	1.0	True	2	1.0	2
11	hom	False	2965	1.0	True	2	0.875	1	1.0	True	2	1.0	1
17	hom	False	310	1.0	True	2	0.9130434782608695	1	1.0	True	1	1.0	1
18	het	True	47	1.0	True	2	0.8181818181818182	2	0.8181818181818182	True	2	1.0	2
25	cpx_het	True	86	1.0	True	2	1.0	2	0.7222222222222222	False	1	1.0	2
34	hom	True	36	1.0	True	2	0.9130434782608695	1	1.0	True	1	1.0	1
35	het	False	338	1.0	True	2	0.8823529411764706	2	1.0	True	2	1.0	2
36	het	True	54	1.0	True	2	1.0	2	0.9583333333333334	True	2	1.0	2
37	cpx_het	True	5216	1.0	False	1	0.8125	2	1.0	True	2	1.0	2
42	het	False	32	1.0	True	2	0.8518518518518519	2	0.9629629629629629	True	2	1.0	2
45	ref	True	0	1.0	True	2	0.875	1	1.0	True	1	1.0	1
48	het	True	32	1.0	True	2	0.9444444444444444	2	0.7222222222222222	False	1	1.0	2
52	het	True	48	1.0	True	2	0.96	2	0.96	True	2	1.0	2
55	cpx_het	True	931	0.9473684210526315	True	2	0.8636363636363636	2	0.9545454545454546	True	2	1.0	2
57	cpx_het	True	60	1.0	True	2	0.9444444444444444	2	1.0	True	2	1.0	2
59	hom	False	205	1.0	True	2	0.95	1	1.0	True	1	1.0	1
60	het	True	347	1.0	True	2	0.8666666666666667	2	0.9666666666666667	True	2	1.0	2
62	hom	True	150	1.0	True	2	0.9	1	1.0	True	1	1.0	1
66	hom	True	54	1.0	True	2	0.8620689655172413	1	1.0	True	2	1.0	1
70	het	True	943	1.0	True	2	0.9090909090909091	2	0.9545454545454546	True	2	1.0	2
72	het	True	36	1.0	True	2	0.8888888888888888	2	1.0	True	2	1.0	2
76	cpx_het	False	2109	1.0	True	2	0.9285714285714286	2	0.9642857142857143	True	2	1.0	2
82	cpx_het	True	193	1.0	True	2	1.0	2	0.9583333333333334	True	2	1.0	2
89	het	True	20	1.0	True	2	1.0	2	0.5555555555555556	False	1	1.0	2
97	het	True	123	1.0	True	2	1.0	2	1.0	True	2	1.0	2
109	het	True	64	1.0	True	2	0.9285714285714286	2	1.0	True	2	1.0	2
114	ref	False	0	1.0	True	2	0.9444444444444444	1	1.0	True	1	1.0	1
120	het	True	38	1.0	True	2	1.0	2	0.8666666666666667	True	2	1.0	2
129	het	True	30	1.0	True	2	0.9545454545454546	2	1.0	True	2	1.0	2
130	het	False	47	1.0	True	2	0.9166666666666666	2	1.0	True	2	1.0	2
133	cpx_het	True	110	1.0	True	2	1.0	2	0.5263157894736842	False	1	1.0	2
142	hom	True	52	1.0	True	1	1.0	1	1.0	True	1	1.0	1
144	het	True	2938	1.0	True	2	0.9285714285714286	2	0.8571428571428571	True	2	1.0	2
156	hom	False	325	1.0	True	2	0.9375	1	1.0	True	1	1.0	1
170	cpx_het	True	575	1.0	True	2	0.95	2	0.75	True	2	1.0	2
173	het	False	73	1.0	True	2	0.7857142857142857	2	1.0	True	2	1.0	2
177	het	True	46	1.0	True	2	1.0	2	1.0	True	2	1.0	2
187	hom	True	38	1.0	True	2	1.0	1	1.0	True	1	1.0	1
192	hom	True	132	1.0	True	1	0.4444444444444444	1	1.0	True	1	1.0	1
197	hom	False	419	1.0	True	2	0.8181818181818182	1	1.0	True	1	1.0	1
202	hom	False	31	1.0	False	0	0.3333333333333333	1	1.0	True	1	1.0	1
204	hom	True	84	1.0	True	2	0.7142857142857143	1	1.0	True	1	1.0	1
205	cpx_het	True	60	1.0	True	2	0.8	2	0.9666666666666667	True	2	1.0	2
209	het	True	35	1.0	True	2	0.9166666666666666	2	0.9166666666666666	True	2	1.0	2
213	het	True	32	1.0	True	2	0.9166666666666666	2	1.0	True	2	1.0	2
221	het	True	80	1.0	True	2	0.95	2	1.0	True	2	1.0	2
222	het	False	294	1.0	True	2	1.0	2	1.0	True	2	1.0	2
224	het	False	313	1.0	True	2	0.8095238095238095	2	1.0	True	2	1.0	2
233	het	False	1142	1.0	True	2	0.9393939393939394	2	0.8787878787878788	True	2	1.0	2
241	het	True	20	1.0	True	2	0.9565217391304348	2	0.6521739130434783	True	2	1.0	2
247	hom	True	58	1.0	True	2	1.0	1	1.0	True	1	1.0	1
264	cpx_het	False	121	0.5	False	1	0.6666666666666666	2	0.6666666666666666	False	1	1.0	2
272	cpx_het	True	54	1.0	True	2	0.9	2	0.95	True	2	1.0	2
275	het	True	150	1.0	True	2	0.8636363636363636	2	0.9545454545454546	True	2	1.0	2
276	het	True	260	1.0	True	2	0.9166666666666666	2	1.0	True	2	1.0	2
299	het	True	1412	1.0	True	2	1.0	2	1.0	True	2	1.0	2
326	het	True	36	1.0	True	2	1.0	2	1.0	True	2	1.0	2
328	cpx_het	True	1198	1.0	True	2	0.9545454545454546	2	0.9545454545454546	True	2	1.0	2
335	hom	True	858	1.0	True	2	0.8421052631578947	1	1.0	True	2	1.0	1
341	hom	True	36	1.0	True	2	0.8888888888888888	1	1.0	True	1	1.0	1
342	hom	True	52	1.0	False	0	0.6666666666666666	1	1.0	True	1	1.0	1
344	hom	True	35	1.0	True	2	0.9285714285714286	1	1.0	True	1	1.0	1
345	het	True	52	1.0	True	2	1.0	2	1.0	True	2	1.0	2
348	het	True	64	1.0	True	2	0.8125	2	0.9375	True	2	1.0	2
351	hom	False	793	1.0	True	2	0.8333333333333334	1	1.0	True	1	1.0	1
354	ref	False	0	1.0	True	2	0.95	1	1.0	True	1	1.0	1
362	hom	False	1009	1.0	True	2	0.9583333333333334	1	1.0	True	1	1.0	1
370	cpx_het	True	458	1.0	True	2	0.9	2	1.0	True	2	1.0	2
385	cpx_het	True	279	1.0	True	2	1.0	2	0.5	False	1	1.0	2
397	ref	False	0	1.0	True	2	0.9545454545454546	1	1.0	True	1	1.0	1
408	hom	True	147	1.0	True	2	0.9	1	1.0	True	1	1.0	1
409	hom	True	182	1.0	True	2	1.0	1	1.0	True	1	1.0	1
410	hom	False	53	1.0	True	2	1.0	1	1.0	True	1	1.0	1
411	het	True	135	1.0	True	2	0.9411764705882353	2	1.0	True	2	1.0	2
420	het	True	36	1.0	True	2	0.9375	2	1.0	True	2	1.0	2
421	hom	True	2460	1.0	True	2	0.9565217391304348	1	1.0	True	1	1.0	1
422	hom	False	162	1.0	True	2	1.0	1	1.0	True	1	1.0	1
428	hom	True	121	1.0	True	2	0.85	1	1.0	True	1	1.0	1
429	het	True	74	1.0	True	2	0.92	2	0.8	True	2	1.0	2
432	het	True	48	1.0	True	2	1.0	2	0.7692307692307693	False	1	1.0	2
434	hom	True	337	1.0	True	2	0.8947368421052632	1	1.0	True	1	1.0	1
435	ref	True	0	1.0	True	2	0.9090909090909091	1	1.0	True	1	1.0	1
436	het	True	194	1.0	True	2	1.0	2	1.0	True	2	1.0	2
443	hom	False	84	1.0	True	2	0.9090909090909091	1	1.0	True	1	1.0	1
444	hom	False	307	1.0	True	2	0.75	1	1.0	True	1	1.0	1
445	het	False	32	1.0	True	2	0.7692307692307693	2	1.0	True	2	1.0	2
446	het	False	40	1.0	True	2	0.6666666666666666	2	1.0	True	2	1.0	2
451	het	False	2844	1.0	False	1	1.0	2	1.0	False	1	1.0	2
454	hom	True	123	1.0	True	2	1.0	1	1.0	True	1	1.0	1
457	hom	False	332	1.0	True	2	0.9545454545454546	1	1.0	True	1	1.0	1
459	het	False	339	1.0	True	2	0.9545454545454546	2	0.9545454545454546	True	2	1.0	2
461	het	False	327	1.0	True	2	0.8518518518518519	2	1.0	True	2	1.0	2
464	cpx_het	True	662	1.0	True	2	0.8421052631578947	2	0.8947368421052632	True	2	1.0	2
468	het	False	24	1.0	True	2	0.7647058823529411	2	0.5294117647058824	False	1	1.0	2
470	hom	True	605	1.0	True	2	0.96	1	1.0	True	2	1.0	1
472	het	True	36	1.0	True	2	0.9523809523809523	2	1.0	True	2	1.0	2
475	hom	True	225	1.0	True	2	0.8235294117647058	1	1.0	True	1	1.0	1
477	het	True	80	1.0	True	2	0.8421052631578947	2	1.0	True	2	1.0	2
480	ref	False	0	1.0	True	2	0.9545454545454546	1	1.0	True	1	1.0	1
483	hom	False	319	1.0	True	2	0.9047619047619048	1	1.0	True	1	1.0	1
497	het	False	37	1.0	True	2	0.9583333333333334	2	1.0	True	2	1.0	2
511	hom	True	78	1.0	True	2	0.9333333333333333	1	1.0	True	1	1.0	1
513	het	True	64	1.0	True	2	1.0	2	1.0	True	2	1.0	2
516	hom	True	90	1.0	True	2	0.7692307692307693	1	1.0	True	1	1.0	1
519	hom	True	611	1.0	True	1	0.75	1	1.0	True	1	1.0	1
522	het	False	39	1.0	True	2	0.8928571428571429	2	0.9642857142857143	True	2	1.0	2
529	het	False	54	1.0	True	2	1.0	2	1.0	True	2	1.0	2
545	het	True	110	1.0	True	2	0.8333333333333334	2	0.9444444444444444	True	2	1.0	2
548	het	True	40	1.0	True	2	0.9375	2	0.9375	True	2	1.0	2
550	het	True	200	1.0	True	2	0.9	2	0.95	True	2	1.0	2
558	hom	True	64	1.0	True	2	0.8823529411764706	1	1.0	True	1	1.0	1
560	het	False	40	1.0	True	2	0.9230769230769231	2	1.0	True	2	1.0	2
575	cpx_het	True	243	1.0	True	2	0.8518518518518519	2	0.9629629629629629	True	2	1.0	2
576	cpx_het	True	122	1.0	True	2	0.9	2	1.0	True	2	1.0	2
593	ref	True	0	1.0	True	2	1.0	1	1.0	True	1	1.0	1
603	hom	False	20	1.0	True	2	0.8888888888888888	1	1.0	True	1	1.0	1
606	het	False	326	1.0	True	2	0.9090909090909091	2	0.9545454545454546	True	2	1.0	2
607	ref	True	0	1.0	True	2	0.875	1	1.0	True	1	1.0	1
610	cpx_het	True	48	1.0	True	2	0.9629629629629629	2	0.9629629629629629	True	2	1.0	2
611	het	True	65	1.0	True	2	0.8888888888888888	2	1.0	True	2	1.0	2
621	het	False	1481	1.0	True	2	0.8823529411764706	2	1.0	True	2	1.0	2
627	cpx_het	True	346	1.0	True	2	0.8181818181818182	2	0.9545454545454546	True	2	1.0	2
631	hom	False	93	1.0	True	2	0.9473684210526315	1	1.0	True	1	1.0	1
635	hom	True	47	1.0	True	2	0.9523809523809523	1	1.0	True	1	1.0	1
638	cpx_het	True	1019	1.0	True	2	0.9259259259259259	2	1.0	True	2	1.0	2
650	het	False	1445	1.0	True	2	0.8620689655172413	2	0.9655172413793104	True	2	1.0	2
657	cpx_het	True	81	1.0	True	2	1.0	2	1.0	True	2	1.0	2
659	cpx_het	True	3072	1.0	True	2	0.8695652173913043	2	1.0	True	2	1.0	2
666	hom	True	26	1.0	True	2	0.88	1	1.0	True	1	1.0	1
678	het	False	326	1.0	True	2	0.875	2	0.9375	True	2	1.0	2
680	het	False	312	1.0	True	2	0.9333333333333333	2	1.0	True	2	1.0	2
681	hom	False	323	1.0	True	2	0.9166666666666666	1	1.0	True	1	1.0	1
693	cpx_het	True	312	1.0	True	2	0.8	2	0.6666666666666666	False	1	1.0	2
694	het	False	538	1.0	True	2	0.7619047619047619	2	1.0	True	2	1.0	2
696	ref	True	0	1.0	True	2	0.8620689655172413	1	1.0	True	1	1.0	1
703	het	True	71	1.0	True	2	0.8823529411764706	2	1.0	True	2	1.0	2
705	het	True	20	1.0	True	2	0.9523809523809523	2	0.7142857142857143	False	1	1.0	2
707	cpx_het	True	56	1.0	True	2	0.9333333333333333	2	0.6666666666666666	False	1	1.0	2
708	cpx_het	True	866	1.0	True	2	1.0	2	0.6153846153846154	False	1	1.0	2
710	hom	True	136	1.0	True	2	1.0	1	1.0	True	1	1.0	1
723	het	True	45	1.0	True	2	0.9444444444444444	2	1.0	True	2	1.0	2
730	het	True	195	1.0	True	2	0.9	2	1.0	True	2	1.0	2
746	het	True	126	1.0	True	2	0.875	2	1.0	True	2	1.0	2
751	het	True	46	1.0	True	2	1.0	2	0.6875	True	2	1.0	2
